"Y" "X1" "X2" "X3" "X4" "X5"
5 7.78 45.5 20.9 71.6 489
2.9 8.86 51.3 9.5 87.5 100
4.4 11.65 54.5 18.6 96.1 248
1.8 7.67 51.7 2.5 40.4 106
4.6 10.16 54.2 8.4 51.5 831
2.6 9.76 53.2 6.9 80.1 64
5.8 9.5 49.3 42 70.9 98
4.5 9.61 52.4 6.9 87.2 487
5.3 11.77 54.1 17.3 56 196
4.8 12.01 52.8 10.8 96.9 298
4.3 9.89 45.2 11.8 108.7 190
5.3 8.15 54.9 12.3 79.8 99
6.3 8.84 56.3 29.6 82.6 85
4.9 11.07 53.2 28.5 122 768
4.5 6.7 48.6 13 80.8 76
4.5 9.44 52.5 10.9 58.5 297
5.5 7.63 52.1 11.6 61.1 197
4.4 9.66 52.1 9.9 98.3 83
4.3 10.39 54.6 14 88.3 353
4.9 10.23 53.2 9.9 77.9 752
6.2 10.15 51.9 16.4 59.2 568
4.4 7.7 56.9 12.2 67.9 129
4 9.2 52.2 17.5 71.1 298
5.7 11.18 51 18.8 55.9 595
4.8 9.36 54.1 18.3 90.6 165
3.8 8.66 52.8 6.8 69.5 246
6.4 11.62 53.9 25.5 99.2 133
4.5 11.46 56.9 15.6 97.7 191
2.7 8.34 56.9 8.1 74 107
3.7 7.58 56.7 20.8 88 97
5 10.33 55.8 21.2 104.3 266
4.1 9.05 51.2 20.5 79.8 195
4.4 8.88 55.8 14.1 76.8 237
5 11.03 49.9 19.7 102.1 318
7.8 12.07 43.7 52.4 105.3 157
4.8 9.84 62.2 12 82.3 600
3.7 8.48 51.1 12.1 92.8 166
5.3 9.77 50.2 15.7 89.7 154
3.7 8.58 55 7.4 95.9 304
7.7 12.78 56.8 46 116.9 322
4.5 10.05 52 36.7 87.5 184
5.1 10.3 59.6 27.8 88.9 175
6.1 13.59 54 24.2 111.7 312
4.3 9.23 51.6 11.6 42.6 620
4.3 8.67 48.2 24.4 90.8 182
3.4 10.42 58 8 59 119
4.3 8.3 57.2 6.8 83.8 167
4.4 10.02 49.5 8.3 93 265
4.5 9.31 47.2 30.2 101.3 170
4.7 8.77 54.5 5.2 47 143
2 7.08 52 12.3 56.4 87
3 11.2 45 7 78.9 130
4.2 9 56.3 14.6 76.4 72
5.2 9.53 51.5 15 65.7 298
6.6 13.95 65.9 15.6 133.5 356
2.3 7.95 51.8 4.6 54.9 163
5.5 11.08 50.2 18.6 63.6 387
3.4 8.45 38.8 12.9 85 235
4.1 10.47 53.2 5.7 69.1 196
3.1 8.63 54 8.4 56.2 76
4.7 10.72 53.8 23.2 94.1 113
4.9 9.89 50.5 17.7 103.6 167
3.1 9.41 59.5 20.6 91.7 29
4.2 8.88 51.5 10.1 86.9 305
6.5 19.56 59.9 17.2 113.7 306
1.4 7.14 51.7 4.1 45.7 115
4.5 8.28 48.1 26 101.8 108
5.6 8.95 53.7 18.9 122.8 147
3.9 11.15 56.5 7.7 73.9 281
